SubID	Block	SearchType	Feature	MotionPresent	GroupMotion	Trial	SetSize	TargetPresent	Accuracy	RTms
8888	1	conjunction	luminance	Motion	none	1	1	1	1	2964
8888	1	conjunction	luminance	Motion	none	2	1	0	1	898
8888	1	conjunction	luminance	Motion	none	3	7	1	0	1019
8888	1	conjunction	luminance	Motion	none	4	11	0	0	589
8888	1	conjunction	luminance	Motion	none	5	3	0	1	882
8888	1	conjunction	luminance	Motion	none	6	5	0	1	1628
8888	1	conjunction	luminance	Motion	none	7	3	1	0	1325
8888	1	conjunction	luminance	Motion	none	8	1	0	1	1017
8888	1	conjunction	luminance	Motion	none	9	5	1	0	962
8888	1	conjunction	luminance	Motion	none	10	7	0	1	869
8888	1	conjunction	luminance	Motion	none	11	1	0	1	783
8888	1	conjunction	luminance	Motion	none	12	9	0	1	1259
8888	1	conjunction	luminance	Motion	none	13	9	1	0	1050
8888	1	conjunction	luminance	Motion	none	14	3	0	1	1507
8888	1	conjunction	luminance	Motion	none	15	7	1	1	988
8888	1	conjunction	luminance	Motion	none	16	5	1	1	880
8888	1	conjunction	luminance	Motion	none	17	11	0	1	1409
8888	1	conjunction	luminance	Motion	none	18	11	1	1	1500
8888	1	conjunction	luminance	Motion	none	19	5	0	0	1095
8888	1	conjunction	luminance	Motion	none	20	7	0	1	1152
8888	1	conjunction	luminance	Motion	none	21	3	1	1	2115
8888	1	conjunction	luminance	Motion	none	22	9	1	1	926
8888	1	conjunction	luminance	Motion	none	23	5	1	1	755
8888	1	conjunction	luminance	Motion	none	24	3	0	1	1209
8888	1	conjunction	luminance	Motion	none	25	3	1	1	717
8888	1	conjunction	luminance	Motion	none	26	9	0	1	1313
8888	1	conjunction	luminance	Motion	none	27	3	1	1	640
8888	1	conjunction	luminance	Motion	none	28	9	0	1	1352
8888	1	conjunction	luminance	Motion	none	29	11	1	1	966
8888	1	conjunction	luminance	Motion	none	30	1	0	1	748
8888	1	conjunction	luminance	Motion	none	31	9	1	1	1023
8888	1	conjunction	luminance	Motion	none	32	1	1	1	786
8888	1	conjunction	luminance	Motion	none	33	7	0	1	1161
8888	1	conjunction	luminance	Motion	none	34	1	1	1	557
8888	1	conjunction	luminance	Motion	none	35	11	1	1	966
8888	1	conjunction	luminance	Motion	none	36	1	1	1	611
8888	1	conjunction	luminance	Motion	none	37	5	0	1	1020
8888	1	conjunction	luminance	Motion	none	38	7	1	1	934
8888	1	conjunction	luminance	Motion	none	39	11	0	1	1470
8888	1	conjunction	luminance	Motion	none	40	5	0	1	942
8888	1	conjunction	luminance	Motion	none	41	11	0	1	1384
8888	1	conjunction	luminance	Motion	none	42	11	1	1	1497
8888	1	conjunction	luminance	Motion	none	43	9	0	1	1313
8888	1	conjunction	luminance	Motion	none	44	3	0	0	930
8888	1	conjunction	luminance	Motion	none	45	5	1	1	936
8888	1	conjunction	luminance	Motion	none	46	7	1	1	896
8888	1	conjunction	luminance	Motion	none	47	9	1	1	1229
8888	1	conjunction	luminance	Motion	none	48	7	0	1	1069
8888	2	conjunction	luminance	Motion	none	1	5	0	0	908
8888	2	conjunction	luminance	Motion	none	2	9	1	1	981
8888	2	conjunction	luminance	Motion	none	3	1	1	1	647
8888	2	conjunction	luminance	Motion	none	4	7	0	1	1139
8888	2	conjunction	luminance	Motion	none	5	1	1	1	547
8888	2	conjunction	luminance	Motion	none	6	7	1	1	580
8888	2	conjunction	luminance	Motion	none	7	3	0	1	756
8888	2	conjunction	luminance	Motion	none	8	7	0	1	1018
8888	2	conjunction	luminance	Motion	none	9	3	1	1	811
8888	2	conjunction	luminance	Motion	none	10	7	0	1	891
8888	2	conjunction	luminance	Motion	none	11	3	0	1	799
8888	2	conjunction	luminance	Motion	none	12	3	0	1	1079
8888	2	conjunction	luminance	Motion	none	13	9	1	1	771
8888	2	conjunction	luminance	Motion	none	14	7	0	1	996
8888	2	conjunction	luminance	Motion	none	15	1	0	1	961
8888	2	conjunction	luminance	Motion	none	16	7	1	1	996
8888	2	conjunction	luminance	Motion	none	17	1	0	1	842
8888	2	conjunction	luminance	Motion	none	18	9	0	1	1559
8888	2	conjunction	luminance	Motion	none	19	7	1	1	776
8888	2	conjunction	luminance	Motion	none	20	9	1	1	810
8888	2	conjunction	luminance	Motion	none	21	5	1	1	734
8888	2	conjunction	luminance	Motion	none	22	5	0	1	881
8888	2	conjunction	luminance	Motion	none	23	5	1	1	923
8888	2	conjunction	luminance	Motion	none	24	7	1	1	1065
8888	2	conjunction	luminance	Motion	none	25	9	0	1	890
8888	2	conjunction	luminance	Motion	none	26	11	1	1	949
8888	2	conjunction	luminance	Motion	none	27	3	1	1	1081
8888	2	conjunction	luminance	Motion	none	28	5	0	1	1037
8888	2	conjunction	luminance	Motion	none	29	9	0	1	934
8888	2	conjunction	luminance	Motion	none	30	9	1	1	976
8888	2	conjunction	luminance	Motion	none	31	5	1	1	705
8888	2	conjunction	luminance	Motion	none	32	11	1	1	839
8888	2	conjunction	luminance	Motion	none	33	5	0	1	780
8888	2	conjunction	luminance	Motion	none	34	1	1	1	521
8888	2	conjunction	luminance	Motion	none	35	11	0	1	1337
8888	2	conjunction	luminance	Motion	none	36	3	1	1	812
8888	2	conjunction	luminance	Motion	none	37	9	0	1	703
8888	2	conjunction	luminance	Motion	none	38	5	1	1	861
8888	2	conjunction	luminance	Motion	none	39	3	1	1	652
8888	2	conjunction	luminance	Motion	none	40	11	0	1	883
8888	2	conjunction	luminance	Motion	none	41	11	1	1	1284
8888	2	conjunction	luminance	Motion	none	42	11	0	1	1226
8888	2	conjunction	luminance	Motion	none	43	1	0	1	855
8888	2	conjunction	luminance	Motion	none	44	11	0	1	789
8888	2	conjunction	luminance	Motion	none	45	11	1	1	813
8888	2	conjunction	luminance	Motion	none	46	1	1	1	609
8888	2	conjunction	luminance	Motion	none	47	1	0	1	877
8888	2	conjunction	luminance	Motion	none	48	3	0	1	685
8888	3	conjunction	luminance	Motion	none	1	7	0	1	1256
8888	3	conjunction	luminance	Motion	none	2	9	1	1	901
8888	3	conjunction	luminance	Motion	none	3	7	0	1	751
8888	3	conjunction	luminance	Motion	none	4	9	0	1	1042
8888	3	conjunction	luminance	Motion	none	5	1	1	1	737
8888	3	conjunction	luminance	Motion	none	6	9	1	1	854
8888	3	conjunction	luminance	Motion	none	7	7	1	0	863
8888	3	conjunction	luminance	Motion	none	8	9	0	1	1072
8888	3	conjunction	luminance	Motion	none	9	3	1	0	1221
8888	3	conjunction	luminance	Motion	none	10	7	0	1	873
8888	3	conjunction	luminance	Motion	none	11	7	0	1	1086
8888	3	conjunction	luminance	Motion	none	12	3	1	1	805
8888	3	conjunction	luminance	Motion	none	13	11	0	1	1152
8888	3	conjunction	luminance	Motion	none	14	5	0	1	1768
8888	3	conjunction	luminance	Motion	none	15	7	1	0	1860
8888	3	conjunction	luminance	Motion	none	16	3	1	1	805
8888	3	conjunction	luminance	Motion	none	17	3	0	1	1088
8888	3	conjunction	luminance	Motion	none	18	11	1	1	930
8888	3	conjunction	luminance	Motion	none	19	7	1	1	927
8888	3	conjunction	luminance	Motion	none	20	1	0	1	1053
8888	3	conjunction	luminance	Motion	none	21	9	0	1	934
8888	3	conjunction	luminance	Motion	none	22	5	1	1	815
8888	3	conjunction	luminance	Motion	none	23	11	1	1	2492
8888	3	conjunction	luminance	Motion	none	24	1	0	1	951
8888	3	conjunction	luminance	Motion	none	25	5	1	1	828
8888	3	conjunction	luminance	Motion	none	26	11	0	1	1177
8888	3	conjunction	luminance	Motion	none	27	9	1	1	785
8888	3	conjunction	luminance	Motion	none	28	1	0	1	777
8888	3	conjunction	luminance	Motion	none	29	3	0	0	825
8888	3	conjunction	luminance	Motion	none	30	11	1	1	1039
8888	3	conjunction	luminance	Motion	none	31	5	0	0	1090
8888	3	conjunction	luminance	Motion	none	32	11	0	1	1331
8888	3	conjunction	luminance	Motion	none	33	3	0	0	1056
8888	3	conjunction	luminance	Motion	none	34	1	1	1	630
8888	3	conjunction	luminance	Motion	none	35	3	0	1	974
8888	3	conjunction	luminance	Motion	none	36	5	1	1	771
8888	3	conjunction	luminance	Motion	none	37	1	0	1	820
8888	3	conjunction	luminance	Motion	none	38	5	1	1	836
8888	3	conjunction	luminance	Motion	none	39	11	0	1	1261
