SetSize,MotionPresent,GroupMotion,Accuracy,TargetPresent,GroupCount,mean_Accuracy,mean_RTms
1,Motion,none,0,0,1,0,431
1,Motion,none,0,1,0,NaN,NaN
1,Motion,none,1,0,15,1,611.866666666667
1,Motion,none,1,1,16,1,517.4375
3,Motion,none,0,0,2,0,890.5
3,Motion,none,0,1,0,NaN,NaN
3,Motion,none,1,0,14,1,596.428571428571
3,Motion,none,1,1,16,1,575.125
5,Motion,none,0,0,1,0,549
5,Motion,none,0,1,1,0,453
5,Motion,none,1,0,15,1,656.533333333333
5,Motion,none,1,1,15,1,605.866666666667
7,Motion,none,0,0,1,0,547
7,Motion,none,0,1,2,0,627
7,Motion,none,1,0,15,1,673.8
7,Motion,none,1,1,14,1,551.642857142857
9,Motion,none,0,0,0,NaN,NaN
9,Motion,none,0,1,2,0,622.5
9,Motion,none,1,0,16,1,715
9,Motion,none,1,1,14,1,617.857142857143
11,Motion,none,0,0,0,NaN,NaN
11,Motion,none,0,1,0,NaN,NaN
11,Motion,none,1,0,16,1,792.375
11,Motion,none,1,1,16,1,659.125
