SubID	Block	SearchType	Feature	MotionPresent	GroupMotion	Trial	SetSize	TargetPresent	Accuracy	RTms
9998	1	conjunction	shape	Motion	none	1	3	1	1	494
9998	1	conjunction	shape	Motion	none	2	3	1	0	378
9998	1	conjunction	shape	Motion	none	3	9	1	1	758
9998	1	conjunction	shape	Motion	none	4	1	0	1	492
9998	1	conjunction	shape	Motion	none	5	11	1	1	576
9998	1	conjunction	shape	Motion	none	6	5	0	1	743
9998	1	conjunction	shape	Motion	none	7	3	0	1	663
9998	1	conjunction	shape	Motion	none	8	1	0	1	748
9998	1	conjunction	shape	Motion	none	9	11	1	1	1384
9998	1	conjunction	shape	Motion	none	10	5	1	1	770
9998	1	conjunction	shape	Motion	none	11	1	0	1	489
9998	1	conjunction	shape	Motion	none	12	7	0	1	1009
9998	1	conjunction	shape	Motion	none	13	7	1	1	1045
9998	1	conjunction	shape	Motion	none	14	1	1	0	695
9998	1	conjunction	shape	Motion	none	15	9	0	1	881
9998	1	conjunction	shape	Motion	none	16	11	0	1	1251
9998	1	conjunction	shape	Motion	none	17	7	0	1	1004
9998	1	conjunction	shape	Motion	none	18	5	1	1	589
9998	1	conjunction	shape	Motion	none	19	11	0	1	1093
9998	1	conjunction	shape	Motion	none	20	1	0	1	678
9998	1	conjunction	shape	Motion	none	21	3	1	1	531
9998	1	conjunction	shape	Motion	none	22	9	0	1	851
9998	1	conjunction	shape	Motion	none	23	7	1	1	1021
9998	1	conjunction	shape	Motion	none	24	7	1	1	757
9998	1	conjunction	shape	Motion	none	25	7	1	1	676
9998	1	conjunction	shape	Motion	none	26	11	0	1	1229
9998	1	conjunction	shape	Motion	none	27	1	1	1	781
9998	1	conjunction	shape	Motion	none	28	9	1	1	467
9998	1	conjunction	shape	Motion	none	29	9	0	1	987
9998	1	conjunction	shape	Motion	none	30	9	1	0	608
9998	1	conjunction	shape	Motion	none	31	1	0	1	760
9998	1	conjunction	shape	Motion	none	32	1	1	0	594
9998	1	conjunction	shape	Motion	none	33	5	0	1	1231
9998	1	conjunction	shape	Motion	none	34	3	1	1	666
9998	1	conjunction	shape	Motion	none	35	3	0	1	719
9998	1	conjunction	shape	Motion	none	36	5	0	1	1339
9998	1	conjunction	shape	Motion	none	37	9	1	1	758
9998	1	conjunction	shape	Motion	none	38	3	1	1	663
9998	1	conjunction	shape	Motion	none	39	9	0	1	1265
9998	1	conjunction	shape	Motion	none	40	11	0	1	1100
9998	1	conjunction	shape	Motion	none	41	11	1	1	969
9998	1	conjunction	shape	Motion	none	42	7	0	1	672
9998	1	conjunction	shape	Motion	none	43	5	0	1	758
9998	1	conjunction	shape	Motion	none	44	11	1	1	729
9998	1	conjunction	shape	Motion	none	45	5	1	1	764
9998	1	conjunction	shape	Motion	none	46	3	0	1	633
9998	1	conjunction	shape	Motion	none	47	11	0	1	787
9998	1	conjunction	shape	Motion	none	48	9	0	1	756
9998	1	conjunction	shape	Motion	none	49	11	1	1	692
9998	1	conjunction	shape	Motion	none	50	7	0	1	780
9998	1	conjunction	shape	Motion	none	51	5	0	0	581
9998	1	conjunction	shape	Motion	none	52	5	0	1	800
9998	1	conjunction	shape	Motion	none	53	9	1	1	621
9998	1	conjunction	shape	Motion	none	54	3	0	1	656
9998	1	conjunction	shape	Motion	none	55	9	0	1	842
9998	1	conjunction	shape	Motion	none	56	3	0	1	846
9998	1	conjunction	shape	Motion	none	57	5	1	1	882
9998	1	conjunction	shape	Motion	none	58	1	1	1	701
9998	1	conjunction	shape	Motion	none	59	1	1	1	671
9998	1	conjunction	shape	Motion	none	60	11	0	1	875
9998	1	conjunction	shape	Motion	none	61	3	1	1	575
9998	1	conjunction	shape	Motion	none	62	5	1	1	496
9998	1	conjunction	shape	Motion	none	63	7	1	1	498
9998	1	conjunction	shape	Motion	none	64	7	0	1	618
9998	1	conjunction	shape	Motion	none	65	7	1	1	738
9998	1	conjunction	shape	Motion	none	66	1	0	1	723
9998	1	conjunction	shape	Motion	none	67	5	1	1	577
9998	1	conjunction	shape	Motion	none	68	9	1	1	829
